"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"43266",55501,TRUE,1,0,6,NA,1,1,0,1,0,9,NA,2,NA,0,23,0
"43267",80351,FALSE,0,0,3,1,0,NA,1,1,0,NA,NA,NA,NA,NA,22,0
"43268",3648,TRUE,1,0,5,2,0,NA,1,1,1,4,NA,4,NA,3,32,1
"43269",6860,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,5,3,3,NA,31,1
"43270",72878,FALSE,0,0,1,NA,1,1,0,1,0,5,NA,4,NA,6,22,0
"43271",37043,TRUE,1,0,4,NA,0,1,0,1,0,8,NA,7,NA,5,25,1
"43272",43054,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,0,NA,NA,26,0
"43273",16734,FALSE,0,0,2,15,0,NA,1,0,0,NA,NA,NA,NA,NA,28,1
"43274",53549,FALSE,0,0,1,NA,1,6,1,1,0,8,8,2,2,7,23,0
"43275",66585,FALSE,0,0,4,NA,0,1,0,1,0,3,7,1,NA,5,23,1
"43276",76363,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"43277",26938,FALSE,1,1,3,NA,1,1,1,1,0,4,7,2,NA,8,26,0
"43278",58405,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,3,3,7,NA,NA,23,0
"43279",73245,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"43280",70824,FALSE,0,0,2,NA,0,2,0,1,0,6,8,8,5,8,23,1
"43281",14413,FALSE,0,0,6,NA,2,1,1,1,1,6,6,2,3,1,28,0
"43282",75899,FALSE,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,22,0
"43283",81590,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,3,2,NA,20,0
"43284",99552,TRUE,0,0,5,3,0,NA,1,1,1,NA,NA,NA,NA,NA,20,0
"43285",28012,FALSE,0,0,5,3,2,NA,1,1,0,NA,NA,NA,NA,NA,26,0
"43286",81170,TRUE,1,1,5,NA,0,1,1,1,0,8,NA,4,NA,3,21,0
"43287",52035,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,7,7,3,1,NA,25,0
"43288",61464,FALSE,1,0,1,NA,0,3,0,1,0,4,5,2,NA,-2,22,0
"43289",38809,TRUE,0,0,4,NA,2,1,0,1,0,4,4,9,NA,-1,25,0
"43290",94407,FALSE,0,0,3,2,0,NA,1,1,0,NA,NA,NA,NA,NA,20,0
"43291",48001,FALSE,0,0,3,NA,0,2,1,1,1,3,6,1,3,7,24,0
"43292",52103,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,8,7,5,6,NA,25,0
